RX Cal Data Subarray 4,RX Cal Data Subarray 2,RX Cal Data Subarray 1,RX Cal Data Subarray 3
-2895.243785207397,-31604.45191181418,1632.0,-32768.0
-3204.277948759781,3740.0040765431622,-4371.0,-29692.0
-1653.4656727746337,-19830.628578702213,535.0,2292.0
2433.3033858298077,24247.503846975007,1208.0,-902.0
-808.761094296493,20561.75047692858,25545.0,147.0
19875.135524641082,10360.968305544673,32767.0,8047.0
21229.65236867876,32976.22422378004,32767.0,-245.0
31090.36235172099,23487.45950828074,32767.0,1648.0
44809.78691448042,1054.5294830348557,32767.0,1062.0
43957.19336037844,2533.9973699823036,32767.0,5641.0
36480.833052677044,2907.802525471123,32767.0,308.0
18851.536478589092,3007.812473197908,32767.0,1249.0
23093.376937191246,2268.1666681115726,30536.0,2131.0
-2386.5709802376737,-1601.6844347273586,10030.0,-6839.0
4440.852327360235,1525.0321064786913,-24424.0,-30917.0
-4123.986540191427,-7971.2721288666,-14443.0,-32768.0
1177.3371202854548,-352.8963254471081,3442.0,-32768.0
-11034.199731556439,-2730.192914829924,-3013.0,-32768.0
-723.2073519905614,-3853.5214920738294,-3809.0,-32768.0
-1067.7209289437903,-5130.515659735576,-10111.0,-32768.0
-1743.5148872286156,-31604.45191181418,2541.0,-31959.0
-3195.9081902459757,-9727.786708366171,-3535.0,-32768.0
-1880.6898676512888,-16145.874599482804,-296.0,-1830.0
1778.5093910279813,6808.133915491786,-4973.0,-10843.0
-1683.751329738485,26621.951499297804,1761.0,28255.0
3986.4328954959833,-4013.269959470983,-477.0,32767.0
19255.7839565495,33474.17024273132,1539.0,-6358.0
39093.01763048848,29000.198148506395,30039.0,6323.0
46333.172720897004,32681.602672617522,32767.0,-875.0
46333.172720897004,31452.707834120236,32272.0,9431.0
46333.172720897004,32846.467895040136,32767.0,-861.0
17664.621772054183,27272.127576183102,29316.0,1744.0
29876.715924723358,-1631.8832875688768,32767.0,1358.0
808.7364128666119,2188.5122629571683,11496.0,-1972.0
-463.0563541321211,1735.1266953510471,-2266.0,2271.0
808.7364128666119,-9627.520398116756,-3953.0,-4779.0
-22617.2835249619,27.322867498233975,-32768.0,3229.0
-23743.89287797086,-3102.001371434041,-27847.0,-16991.0
8675.217713537308,-1121.0885138919966,-32768.0,-32768.0
-8575.850186106438,-7964.077869019262,-7637.0,-32768.0
276.63808642111303,-839.9613477497862,116.0,-31986.0
-8731.34328508364,-2628.09244265034,-2488.0,-32768.0
-1702.688866952299,-2844.6219960467092,-3645.0,-18921.0
1682.5291847021354,3418.093159364552,-8632.0,439.0
-1510.8364473939266,16666.125033208147,3268.0,-3634.0
1489.3277253595697,33890.625936882265,-4578.0,32767.0
-1856.119551556479,33890.625936882265,6538.0,31549.0
2926.2543961377282,32906.87892383216,4869.0,32767.0
-2154.379028194473,33424.333761440146,117.0,32767.0
16285.985840960257,31662.293072427576,3380.0,30702.0
46333.172720897004,30626.393750122475,1833.0,-3408.0
27714.244417484497,31603.487420483863,30361.0,4160.0
33618.14590801552,16350.784618518423,32767.0,838.0
808.7364128666119,2288.3562915327257,32767.0,1019.0
3262.33813257746,3045.8945384132007,-8942.0,940.0
5207.313214612983,-33777.53887298881,8266.0,-2453.0
